TextID,EN,ES,DE,FR,AlarmCode,AlarmSeverity,AlarmVar
Inks.Alarm.inks.Al.xAlrDifCtrlTempExcessive_B02,xAlrDifCtrlTempExcessive_B02,xAlrDifCtrlTempExcessive_B02,NoValue,NoValue,10211,1,gInks[2].Al.xAlrDifCtrlTempExcessive
Inks.Alarm.inks.Al.xAlrHeaterOutFault_B02,xAlrHeaterOutFault_B02,xAlrHeaterOutFault_B02,NoValue,NoValue,10212,1,gInks[2].Al.xAlrHeaterOutFault
Inks.Alarm.inks.Al.xAlrOverPressure_B02,xAlrOverPressure_B02,xAlrOverPressure_B02,NoValue,NoValue,10213,1,gInks[2].Al.xAlrOverPressure
Inks.Alarm.inks.Al.xAlrStopRecircNoInk_B02,xAlrStopRecircNoInk_B02,xAlrStopRecircNoInk_B02,NoValue,NoValue,10214,1,gInks[2].Al.xAlrStopRecircNoInk
Inks.Alarm.inks.Al.xAlrBrokenMeniscus_B02,xAlrBrokenMeniscus_B02,xAlrBrokenMeniscus_B02,NoValue,NoValue,10215,1,gInks[2].Al.xAlrBrokenMeniscus
Inks.Alarm.inks.Al.xAlrLevelSensorError_B02,xAlrLevelSensorError_B02,xAlrLevelSensorError_B02,NoValue,NoValue,10216,1,gInks[2].Al.xAlrLevelSensorError
Inks.Alarm.inks.Al.xAlrTankEmpty_B02,xAlrTankEmpty_B02,xAlrTankEmpty_B02,NoValue,NoValue,10217,1,gInks[2].Al.xAlrTankEmpty
Inks.Alarm.inks.Al.xAlrTankToFillIn_B02,xAlrTankToFillIn_B02,xAlrTankToFillIn_B02,NoValue,NoValue,10218,2,gInks[2].Al.xAlrTankToFillIn
Inks.Alarm.inks.Al.xAlrPumpsDCError_B02,xAlrPumpsDCError_B02,xAlrPumpsDCError_B02,NoValue,NoValue,10219,1,gInks[2].Al.xAlrPumpsDCError
Inks.Alarm.inks.Al.xAlrKlixonTriggered_B02,xAlrKlixonTriggered_B02,xAlrKlixonTriggered_B02,NoValue,NoValue,10220,2,gInks[2].Al.xAlrKlixonTriggered
Inks.Alarm.inks.Al.xAlrPrintHeadPsuFailure_B02,xAlrTankEmpty_B02,xAlrTankEmpty_B02,NoValue,NoValue,10221,2,gInks[2].Al.xAlrPrintHeadPsuFailure
,,,,,,,
,,,,,,,
Inks.Alarm.DigSensError_B03,Inks.Alarm.DigSensError_B03,Inks.Alarm.DigSensError_B03,NoValue,NoValue,10301,1,gInks[3].Al.xAlrTankDigitalSensorsError
Inks.Alarm.xAlrVacuum1_B03,xAlrVacuum1_B03,xAlrVacuum1_B03,NoValue,NoValue,10302,1,gInks[3].Al.xAlrVacuum1
Inks.Alarm.xAlrVacuum2_B03,xAlrVacuum2_B03,xAlrVacuum2_B03,NoValue,NoValue,10303,1,gInks[3].Al.xAlrVacuum2
Inks.Alarm.inks.Al.xAlrVacuumSensor1_B03,xAlrVacuumSensor1_B03,xAlrVacuumSensor1_B03,NoValue,NoValue,10304,1,gInks[3].Al.xAlrVacuumSensor1
Inks.Alarm.inks.Al.xAlrVacuumSensor2_B03,xAlrVacuumSensor2_B03,xAlrVacuumSensor2_B03,NoValue,NoValue,10305,1,gInks[3].Al.xAlrVacuumSensor2
Inks.Alarm.inks.Al.xAlrDiffVacuum_B03,xAlrDiffVacuum_B03,xAlrDiffVacuum_B03,NoValue,NoValue,10306,1,gInks[3].Al.xAlrDiffVacuum
Inks.Alarm.inks.Al.xAlrIncoherTempHeat_B03,xAlrIncoherTempHeat_B03,xAlrIncoherTempHeat_B03,NoValue,NoValue,10307,1,gInks[3].Al.xAlrIncoherTempHeat
Inks.Alarm.inks.Al.xAlrHeaterReachsMaxTemp_B03,xAlrHeaterReachsMaxTemp_B03,xAlrHeaterReachsMaxTemp_B03,NoValue,NoValue,10308,2,gInks[3].Al.xAlrHeaterReachsMaxTemp
Inks.Alarm.inks.Al.xAlrTempSensor_B03,xAlrTempSensor_B03,xAlrTempSensor_B03,NoValue,NoValue,10309,1,gInks[3].Al.xAlrTempSensor
Inks.Alarm.inks.Al.xAlrDiffInCtrlTemp_B03,xAlrDiffInCtrlTemp_B03,xAlrDiffInCtrlTemp_B03,NoValue,NoValue,10310,2,gInks[3].Al.xAlrDiffInCtrlTemp
Inks.Alarm.inks.Al.xAlrDifCtrlTempExcessive_B03,xAlrDifCtrlTempExcessive_B03,xAlrDifCtrlTempExcessive_B03,NoValue,NoValue,10311,1,gInks[3].Al.xAlrDifCtrlTempExcessive
Inks.Alarm.inks.Al.xAlrHeaterOutFault_B03,xAlrHeaterOutFault_B03,xAlrHeaterOutFault_B03,NoValue,NoValue,10312,1,gInks[3].Al.xAlrHeaterOutFault
Inks.Alarm.inks.Al.xAlrOverPressure_B03,xAlrOverPressure_B03,xAlrOverPressure_B03,NoValue,NoValue,10313,1,gInks[3].Al.xAlrOverPressure
