TextID,EN,ES,DE,FR,AlarmCode,AlarmSeverity,AlarmVar
Dryer.Alarm.SblockNotCommsDrive,Comms Error Vertical motor,Fallo comunicacion Motor Vertical,NoValue,NoValue,40002,1,gSimpleBlock[1].Al.xAlrComBarMtr
Dryer.Alarm.SblockDriveBreaker,Breaker Vertical motor,Proteccion Motor Vertical,NoValue,NoValue,40003,1,gSimpleBlock[1].Al.xAlrDriveProtection
Dryer.Alarm.SblockHomeSensorError,Home Sensor Error,Error Sensor referenciado,NoValue,NoValue,40004,1,gSimpleBlock[1].Al.xAlrReferenceIncoherence
,,,,,,,
Dryer.Alarm.SblockCheckHomeSensor,Check home sensor,Chequear sensor referenciado,NoValue,NoValue,40051,2,gSimpleBlock[1].Al.xAlrCheckHomingSensor
Dryer.Alarm.SblockMotorTemp,Overtemperature in vertical motor,Sobretemperatura en Motor Vertical,NoValue,NoValue,40052,2,gSimpleBlock[1].Al.xBarMotorTemp
Dryer.Alarm.SblockDriveTemp,Overtemperature in vertical drive,Sobretemperatura en Drive Vertical,NoValue,NoValue,40053,2,gSimpleBlock[1].Al.xBarDriverTemp
,,,,,,,
Dryer.SimpleBlock.ConfirmHoming,Are you sure to send the homing order?,¿Esta seguro de querer lanzar la orden de referenciado?,NoValue,NoValue,,,
,,,,,,,
,,,,,,,
Dryer.Alarm.VaccSensor,Vacuum sensor error,Error sensor presion,NoValue,NoValue,50001,1,gTransVacuum[1].Alarms.xAlrVacuumSensor
Dryer.Alarm.VaccBlowerComsInput,Comms Error Blower Vacuum Input,Fallo comunicacion Blower Vacio Entrada,NoValue,NoValue,50051,1,gTransVacuum[1].Alarms.xAlrCommsBlower[1]
Dryer.Alarm.VaccBlowerComsOutput,Comms Error Blower Vacuum Output,Fallo comunicacion Blower Vacio Salida,NoValue,NoValue,50052,1,gTransVacuum[1].Alarms.xAlrCommsBlower[2]
Dryer.Alarm.VaccBlowerProtInput,Breaker Blower Vacuum Input,Proteccion Blower Vacio Entrada,NoValue,NoValue,50061,1,gTransVacuum[1].Alarms.xAlrBlowerCB[1]
Dryer.Alarm.VaccBlowerProtOutput,Breaker Blower Vacuum Output,Proteccion Blower Vacio Salida,NoValue,NoValue,50062,1,gTransVacuum[1].Alarms.xAlrBlowerCB[2]
Dryer.Alarm.VaccBlowerErrorInput,Error Blower Vacuum Input,Error Blower Vacio Entrada,NoValue,NoValue,50071,1,gTransVacuum[1].Alarms.xAlrBlowerError[1]
Dryer.Alarm.VaccBlowerErrorOutput,Error Blower Vacuum Output,Error Blower Vacio Salida,NoValue,NoValue,50072,1,gTransVacuum[1].Alarms.xAlrBlowerError[2]
Dryer.Alarm.VaccBlowerNotRunningInput,Error Blower Input Not running,Blower Vacio Entrada sin mover,NoValue,NoValue,50081,1,gTransVacuum[1].Alarms.xAlrBlowerNotRunning[1]
Dryer.Alarm.VaccBlowerNotRunningOutput,Error Blower Output Not running,Blower Vacio Salida sin mover,NoValue,NoValue,50082,1,gTransVacuum[1].Alarms.xAlrBlowerNotRunning[2]
,,,,,,,
Dryer.Adphos.Power,Adphos Power,Potencia Adphos,NoValue,NoValue,,,
Dryer.Adphos.Speed,Adphos Speed,Velocidad Adphos,NoValue,NoValue,,,
Dryer.Alarm.NIRSafetyError,NIR Safety Error,Fallo Seguridad NIR,NoValue,NoValue,60001,1,gNirAdphos.Alarms.xSafetyError
Dryer.Alarm.NIRFault,NIR Fault,NIR en Fallo,NoValue,NoValue,60002,1,gNirAdphos.Alarms.xFault
Dryer.Alarm.NIRComsError,NIR Comms Error,Fallo comunicacion NIR,NoValue,NoValue,60003,1,gNirAdphos.Alarms.xCommsError
,,,,,,,
Dryer.Alarm.NIRInletHumiditySensError,NIR Humidity Sensor error,Error sensor humedad NIR,NoValue,NoValue,60021,2,gNirAdphos.Alarms.xInletHumiditySensorError
Dryer.Alarm.NIRInletTempSensError,NIR Temperature Sensor error,Error sensor temperatura NIR,NoValue,NoValue,60022,2,gNirAdphos.Alarms.xInletTempSensorError
,,,,,,,
Dryer.Alarm.JamInputNIR1,Jam Input NIR 1,Atasco Frontal NIR 1,NoValue,NoValue,60051,1,gJamDetect[1].Alarms.xAlrJamCrash[1]
