Temp2ErrorArea1,POE\Main\Code.GB,8,IN,290,0,Read,,INT,,,VAR,LOCAL,,
Temp2ErrorArea1,POE\Main\Code.GB,10,IN,137,72,Read,,INT,,,VAR,LOCAL,,
Temp2ErrorArea1,POE\Main\Code.GB,11,IN,213,10,Read,,INT,,,VAR,LOCAL,,
Temp2ErrorArea1,POE\Main\Code.GB,22,IN,572,70,Read,,INT,,,VAR,LOCAL,,
Temp2ErrorArea2,POE\Main\Code.GB,20,OUT,434,41,Write,,INT,,,VAR,LOCAL,,
Temp2ErrorArea2,POE\Main\Code.GB,23,IN,577,7,Read,,INT,,,VAR,LOCAL,,
Temp2ErrorArea2,POE\Main\Code.GB,25,IN,632,66,Read,,INT,,,VAR,LOCAL,,
Temp3ErrorArea1,POE\Main\Code.GB,5,IN,286,27,Read,,INT,,,VAR,LOCAL,,
Temp3ErrorArea1,POE\Main\Code.GB,6,OUT,140,71,Write,,INT,,,VAR,LOCAL,,
Temp3ErrorArea1,POE\Main\Code.GB,8,IN,161,57,Read,,INT,,,VAR,LOCAL,,
Temp3ErrorArea1,POE\Main\Code.GB,10,IN,293,72,Read,,INT,,,VAR,LOCAL,,
Temp3ErrorArea2,POE\Main\Code.GB,21,OUT,436,72,Write,,INT,,,VAR,LOCAL,,
Temp3ErrorArea2,POE\Main\Code.GB,23,IN,494,31,Read,,INT,,,VAR,LOCAL,,
Temp3ErrorArea2,POE\Main\Code.GB,23,IN,495,71,Read,,INT,,,VAR,LOCAL,,
Temp3ErrorArea2,POE\Main\Code.GB,25,IN,634,66,Read,,INT,,,VAR,LOCAL,,
Temp4ErrorArea1,POE\Main\Code.GB,10,IN,138,72,Read,,INT,,,VAR,LOCAL,,
Temp4ErrorArea1,POE\Main\Code.GB,11,OUT,292,31,Write,,INT,,,VAR,LOCAL,,
Temp4ErrorArea2,POE\Main\Code.GB,23,OUT,578,41,Write,,INT,,,VAR,LOCAL,,
Temp4ErrorArea2,POE\Main\Code.GB,25,IN,633,66,Read,,INT,,,VAR,LOCAL,,
Temp5ErrorArea1,POE\Main\Code.GB,8,IN,288,46,Read,,INT,,,VAR,LOCAL,,
Temp5ErrorArea1,POE\Main\Code.GB,8,IN,212,73,Read,,INT,,,VAR,LOCAL,,
Temp5ErrorArea1,POE\Main\Code.GB,8,OUT,190,0,Write,,INT,,,VAR,LOCAL,,
Temp5ErrorArea1,POE\Main\Code.GB,10,IN,294,72,Read,,INT,,,VAR,LOCAL,,
Temp5ErrorArea2,POE\Main\Code.GB,23,IN,605,37,Read,,INT,,,VAR,LOCAL,,
Temp5ErrorArea2,POE\Main\Code.GB,23,IN,603,71,Read,,INT,,,VAR,LOCAL,,
Temp5ErrorArea2,POE\Main\Code.GB,24,OUT,496,77,Write,,INT,,,VAR,LOCAL,,
Temp5ErrorArea2,POE\Main\Code.GB,25,IN,635,66,Read,,INT,,,VAR,LOCAL,,
Temp7ErrorArea1,POE\Main\Code.GB,9,OUT,291,68,Write,,INT,,,VAR,LOCAL,,
Temp7ErrorArea1,POE\Main\Code.GB,10,IN,306,72,Read,,INT,,,VAR,LOCAL,,
Temp7ErrorArea2,POE\Main\Code.GB,24,OUT,606,77,Write,,INT,,,VAR,LOCAL,,
Temp7ErrorArea2,POE\Main\Code.GB,25,IN,636,66,Read,,INT,,,VAR,LOCAL,,
TON_S_1,POE\Main\Code.GB,24,,742,25,,,,,,VAR,FB,,
TON_S_2,POE\Main\Code.GB,27,,798,26,,,,,,VAR,FB,,
TON_S_3,POE\Main\Code.GB,30,,677,30,,,,,,VAR,FB,,
