ReleaseTransport,POE\Main\Code.GB,27,OUT,719,66,Write,,BOOL,NSQX132.0,,VAR_GLOBAL,GLOBAL,,
ReleaseUpDownBK1,POE\Main\Code.GB,30,OUT,772,74,Write,,BOOL,NSQX133.0,,VAR_GLOBAL,GLOBAL,,
ReleaseUpDownBK2,POE\Main\Code.GB,33,OUT,688,77,Write,,BOOL,NSQX134.0,,VAR_GLOBAL,GLOBAL,,
SelectMachine,POE\Main\Code.GB,16,IN,801,53,Read,,SAFEBOOL,SIX69.0,,VAR_GLOBAL,GLOBAL,,
SelectMachine,POE\Main\Code.GB,16,IN,804,12,Read,,SAFEBOOL,SIX69.0,,VAR_GLOBAL,GLOBAL,,
SelectMachine,POE\Main\Code.GB,16,IN,856,10,Read,,SAFEBOOL,SIX69.0,,VAR_GLOBAL,GLOBAL,,
SelectMachine,POE\Main\Code.GB,17,IN,802,29,Read,,SAFEBOOL,SIX69.0,,VAR_GLOBAL,GLOBAL,,
SelectMachine,POE\Main\Code.GB,17,IN,803,0,Read,,SAFEBOOL,SIX69.0,,VAR_GLOBAL,GLOBAL,,
SelectMachine,POE\Main\Code.GB,19,IN,805,57,Read,,SAFEBOOL,SIX69.0,,VAR_GLOBAL,GLOBAL,,
SelectMachine,POE\Main\Code.GB,22,IN,806,8,Read,,SAFEBOOL,SIX69.0,,VAR_GLOBAL,GLOBAL,,
SelectMachine,POE\Main\Code.GB,22,IN,807,80,Read,,SAFEBOOL,SIX69.0,,VAR_GLOBAL,GLOBAL,,
SelectMachine,POE\Main\Code.GB,25,IN,812,23,Read,,SAFEBOOL,SIX69.0,,VAR_GLOBAL,GLOBAL,,
SelectMachine,POE\Main\Code.GB,28,IN,835,5,Read,,SAFEBOOL,SIX69.0,,VAR_GLOBAL,GLOBAL,,
TransportEnable,POE\Main\Code.GB,25,OUT,716,0,Write,,SAFEBOOL,SQX16.0,,VAR_GLOBAL,GLOBAL,,
TransportEnable,POE\Main\Code.GB,28,IN,770,44,Read,,SAFEBOOL,SQX16.0,,VAR_GLOBAL,GLOBAL,,
TransportEnable,POE\Main\Code.GB,28,IN,649,64,Read,,SAFEBOOL,SQX16.0,,VAR_GLOBAL,GLOBAL,,
UpDownBK1Enable,POE\Main\Code.GB,29,OUT,768,78,Write,,SAFEBOOL,SQX14.0,,VAR_GLOBAL,GLOBAL,,
UpDownBK2Enable,POE\Main\Code.GB,29,OUT,682,74,Write,,SAFEBOOL,SQX15.0,,VAR_GLOBAL,GLOBAL,,
